subj_idx,ss_presented,inhibited,ssd,rt
1,0,-999,-999.0,580.0
1,1,0,200.0,707.0
1,1,0,150.0,395.0
1,0,-999,-999.0,518.0
1,0,-999,-999.0,445.0
1,0,-999,-999.0,458.0
1,0,-999,-999.0,359.0
1,0,-999,-999.0,360.0
1,0,-999,-999.0,554.0
1,1,1,100.0,-999.0
1,0,-999,-999.0,474.0
1,0,-999,-999.0,360.0
1,0,-999,-999.0,554.0
1,0,-999,-999.0,408.0
1,0,-999,-999.0,465.0
1,0,-999,-999.0,591.0
1,0,-999,-999.0,351.0
1,0,-999,-999.0,413.0
1,0,-999,-999.0,403.0
1,0,-999,-999.0,447.0
1,0,-999,-999.0,408.0
1,0,-999,-999.0,389.0
1,0,-999,-999.0,424.0
1,0,-999,-999.0,375.0
1,0,-999,-999.0,344.0
1,0,-999,-999.0,367.0
1,1,0,200.0,341.0
1,0,-999,-999.0,372.0
1,1,0,150.0,373.0
1,0,-999,-999.0,470.0
1,1,1,100.0,-999.0
1,1,1,150.0,-999.0
1,0,-999,-999.0,555.0
1,0,-999,-999.0,446.0
1,0,-999,-999.0,451.0
1,0,-999,-999.0,505.0
1,0,-999,-999.0,408.0
1,0,-999,-999.0,376.0
1,0,-999,-999.0,455.0
1,1,0,200.0,426.0
1,0,-999,-999.0,461.0
1,0,-999,-999.0,432.0
1,0,-999,-999.0,487.0
1,0,-999,-999.0,464.0
1,0,-999,-999.0,432.0
1,0,-999,-999.0,624.0
1,1,0,150.0,633.0
1,0,-999,-999.0,498.0
1,0,-999,-999.0,409.0
1,1,1,150.0,-999.0
1,1,1,100.0,-999.0
1,0,-999,-999.0,456.0
1,0,-999,-999.0,635.0
1,0,-999,-999.0,348.0
1,1,0,150.0,325.0
1,0,-999,-999.0,391.0
1,0,-999,-999.0,396.0
1,0,-999,-999.0,354.0
1,0,-999,-999.0,388.0
1,0,-999,-999.0,512.0
1,1,0,200.0,405.0
1,1,1,100.0,-999.0
1,1,1,150.0,-999.0
1,1,1,200.0,-999.0
1,0,-999,-999.0,527.0
1,0,-999,-999.0,372.0
1,0,-999,-999.0,457.0
1,1,0,250.0,340.0
1,0,-999,-999.0,380.0
1,0,-999,-999.0,376.0
1,0,-999,-999.0,323.0
1,1,1,150.0,-999.0
1,0,-999,-999.0,378.0
1,0,-999,-999.0,502.0
1,1,1,200.0,-999.0
1,0,-999,-999.0,461.0
1,0,-999,-999.0,394.0
1,0,-999,-999.0,453.0
1,0,-999,-999.0,403.0
2,0,-999,-999.0,591.0
2,0,-999,-999.0,605.0
2,0,-999,-999.0,440.0
2,0,-999,-999.0,419.0
